N,DFT,DFT_omp,FFT,cuDFT,FFTW3,cuFFTW3
8,0.000733,0.000108,0.000021,0.000064,0.000001,0.000020
9,0.007459,0.007958,0.000229,0.000133,0.000005,0.000032
10,0.025178,0.001597,0.000095,0.000224,0.000003,0.000009
11,0.042332,0.010788,0.000222,0.000442,0.000004,0.000009
12,0.163221,0.018680,0.000409,0.000875,0.000010,0.000011
13,0.641356,0.080303,0.000954,0.001873,0.000030,0.000015
14,2.568174,0.311598,0.002228,0.004227,0.000062,0.000016
15,-1.0,1.162796,0.004368,0.012152,0.000113,0.000018
16,-1.0,4.601351,0.008786,0.043681,0.000214,0.000017
17,-1.0,-1.0,0.016328,0.146169,0.000473,0.000027
18,-1.0,-1.0,0.031453,0.591290,0.002228,0.000061
19,-1.0,-1.0,0.056923,2.353216,0.007201,0.000125
20,-1.0,-1.0,0.123884,-1.0,0.011304,0.000245
21,-1.0,-1.0,0.257131,-1.0,0.024540,0.000476
22,-1.0,-1.0,0.515756,-1.0,0.053480,0.001030
23,-1.0,-1.0,1.096376,-1.0,0.138078,0.002786
24,-1.0,-1.0,2.377413,-1.0,0.303886,0.005854
25,-1.0,-1.0,-1.0,-1.0,1.051843,0.011638
26,-1.0,-1.0,-1.0,-1.0,2.373931,0.023940
